"Status","File","Metadata","Notes"
"OK","AI-Improvements-1.21-0.5.3.jar","ai-improvements.pw.toml",""
"OK","alltheleaks-1.1.9+1.21.1-neoforge.jar","alltheleaks.pw.toml",""
"OK","Almanac-1.21.1-2-neoforge-1.5.2.jar","almanac-lib.pw.toml",""
"OK","almostunified-neoforge-1.21.1-1.4.2.jar","almostunified.pw.toml",""
"OK","alternate_current-mc1.21-1.9.0.jar","alternate-current.pw.toml",""
"OK","architectury-13.0.8-neoforge.jar","architectury-api.pw.toml",""
"OK","athena-neoforge-1.21.1-4.0.6.jar","athena.pw.toml",""
"OK","balm-neoforge-1.21.1-21.0.60.jar","balm.pw.toml",""
"OK","bellsandwhistles-0.4.7-1.21.1.jar","bellsandwhistles.pw.toml",""
"OK","buildersaddition2-neoforge-1.21.1-2.1.2.jar","buildersaddition.pw.toml",""
"OK","buildinggadgets2-1.3.9.jar","building-gadgets.pw.toml",""
"OK","cc-tweaked-1.21.1-forge-1.120.0.jar","cc-tweaked.pw.toml",""
"OK","chipped-neoforge-1.21.1-4.0.2.jar","chipped.pw.toml",""
"OK","Chunky-NeoForge-1.4.23.jar","chunky-pregenerator-forge.pw.toml",""
"OK","cloth-config-15.0.140-neoforge.jar","cloth-config.pw.toml",""
"OK","Clumps-neoforge-1.21.1-19.0.0.1.jar","clumps.pw.toml",""
"OK","connectivity-1.21.1-7.6.jar","connectivity.pw.toml",""
"OK","copycats-3.0.4+mc.1.21.1-neoforge.jar","copycats.pw.toml",""
"OK","aeronauticscompat-1.1.2.jar","create-aeronautics-compatability.pw.toml",""
"OK","portable_engine_liquid_fuel-2.0.0-neoforge-1.21.1.jar","create-aeronautics-portable-engine-liquid-fuel.pw.toml",""
"OK","create-aeronautics-bundled-1.21.1-1.3.0.jar","create-aeronautics.pw.toml",""
"OK","alloyed-3.0.11+1.21.1-neoforge.jar","create-alloyed.pw.toml",""
"OK","create_connected-1.3.2-mc1.21.1.jar","create-connected.pw.toml",""
"OK","createdeco-2.1.3.jar","create-deco.pw.toml",""
"OK","submarinefix-1.0.1.jar","create-deep-seas-lava-fix.pw.toml",""
"OK","create_submarine-2.2.4.jar","create-deep-seas.pw.toml",""
"OK","Design-n-Decor-1.21.1-2.2b.jar","create-design-n-decor.pw.toml",""
"OK","createdieselgenerators-1.21.1-1.3.14.jar","create-diesel-generators.pw.toml",""
"OK","CreateDragonsPlus-1.11.2b.jar","create-dragons-plus.pw.toml",""
"OK","create-dyn-light-forge-1.21.1-2.0.1.jar","create-dynamic-lights.pw.toml",""
"OK","electroenergetics-1.21.1-1.1.1.jar","create-electro-energetics.pw.toml",""
"OK","create-enchantment-industry-2.4.2.jar","create-enchantment-industry.pw.toml",""
"OK","tfmg-1.2.0.jar","create-industry.pw.toml",""
"OK","createliquidfuel-2.1.1-1.21.1.jar","create-liquid-fuel.pw.toml",""
"OK","create_mechanical_extruder-1.21.1-2.2.1-6.0.10.jar","create-mechanical-extruder.pw.toml",""
"OK","create-new-age-1.2.0+neoforge-mc1.21.1.jar","create-new-age.pw.toml",""
"OK","createoreexcavation-1.21-1.6.8.jar","create-ore-excavation.pw.toml",""
"OK","petrochem-neoforge-1.21.1-1.2.1.jar","create-petrochem.pw.toml",""
"OK","create_power_loader-2.0.5-mc1.21.1.jar","create-power-loader.pw.toml",""
"OK","createrailwaysnavigator-neoforge-1.21.1-beta-0.9.1-C6.jar","create-railways-navigator.pw.toml",""
"OK","create-track-map-2.1+mc1.21.1-neoforge.jar","create-track-map-unofficial-fork.pw.toml",""
"OK","create-1.21.1-6.0.10.jar","create.pw.toml",""
"OK","createaddition-1.6.0.jar","createaddition.pw.toml",""
"OK","cupboard-1.21.1-3.8.jar","cupboard.pw.toml",""
"OK","dragonlib-neoforge-1.21.1-beta-3.0.28.jar","dragonlib.pw.toml",""
"OK","dynview-1.21-4.0.jar","dynamic-view.pw.toml",""
"OK","FarmersDelight-1.21.1-1.3.2.jar","farmers-delight.pw.toml",""
"OK","FastFurnace-1.21.1-9.0.1.jar","fastfurnace.pw.toml",""
"OK","FastSuite-1.21.1-6.0.7.jar","fastsuite.pw.toml",""
"OK","FastWorkbench-1.21.1-9.1.3.jar","fastworkbench.pw.toml",""
"OK","ferritecore-7.0.3-neoforge.jar","ferritecore.pw.toml",""
"OK","FramedBlocks-10.6.1.jar","framedblocks.pw.toml",""
"OK","ftb-backups-3-21.1.5.jar","ftb-backups-3.pw.toml",""
"OK","ftb-chunks-neoforge-2101.1.20.jar","ftb-chunks-forge.pw.toml",""
"OK","ftb-essentials-neoforge-2101.1.9.jar","ftb-essentials.pw.toml",""
"OK","ftb-library-neoforge-2101.1.32.jar","ftb-library-forge.pw.toml",""
"OK","ftb-ranks-neoforge-2101.1.3.jar","ftb-ranks-forge.pw.toml",""
"OK","ftb-teams-neoforge-2101.1.10.jar","ftb-teams-forge.pw.toml",""
"OK","ftb-xmod-compat-neoforge-21.1.8.jar","ftb-xmod-compat.pw.toml",""
"OK","fusion-1.3.5-neoforge-mc1.21.1.jar","fusion-connected-textures.pw.toml",""
"OK","geckolib-neoforge-1.21.1-4.9.2.jar","geckolib.pw.toml",""
"OK","grieflogger-1.2.9-1.21.1-neoforge.jar","grieflogger.pw.toml",""
"OK","handcrafted-neoforge-1.21.1-4.0.3.jar","handcrafted.pw.toml",""
"OK","ironchest-1.21-neoforge-16.0.7.jar","iron-chests.pw.toml",""
"OK","kotlinforforge-5.12.0-all.jar","kotlin-for-forge.pw.toml",""
"OK","letmedespawn-1.21.x-neoforge-1.5.0.jar","let-me-despawn.pw.toml",""
"OK","lithostitched-1.7.13-neoforge-21.1.jar","lithostitched.pw.toml",""
"OK","lootr-neoforge-1.21.1-1.11.37.121.jar","lootr.pw.toml",""
"OK","mcw-bridges-3.1.2-mc1.21.1neoforge.jar","macaws-bridges.pw.toml",""
"OK","mcw-lights-1.1.5-mc1.21.1neoforge.jar","macaws-lights-and-lamps.pw.toml",""
"OK","mechanicals-1.21.1-1.1.4.jar","mechanicals-lib.pw.toml",""
"OK","midgard-1.0.0.jar","middgard.pw.toml",""
"OK","modernfix-neoforge-5.27.15+mc1.21.1.jar","modernfix.pw.toml",""
"OK","noisium-neoforge-2.7.0+mc1.21-1.21.1.jar","noisiumforked.pw.toml",""
"OK","Oh-The-Trees-Youll-Grow-neoforge-1.21.1-5.3.2.jar","oh-the-trees-youll-grow.pw.toml",""
"OK","oritech-neoforge-1.21.1-1.2.8.jar","oritech.pw.toml",""
"OK","Placebo-1.21.1-9.9.1.jar","placebo.pw.toml",""
"OK","polymorph-neoforge-1.1.0+1.21.1.jar","polymorph.pw.toml",""
"OK","powergrid-mc1.21.1-0.5.5.1.jar","power-grid.pw.toml",""
"OK","PuzzlesLib-v21.1.52-1.21.1-NeoForge.jar","puzzles-lib.pw.toml",""
"OK","rechiseledcreate-1.1.1-neoforge-mc1.21.jar","rechiseled-create.pw.toml",""
"OK","rechiseled-1.2.5-neoforge-mc1.21.jar","rechiseled.pw.toml",""
"OK","resourcefullib-neoforge-1.21-3.0.12.jar","resourceful-lib.pw.toml",""
"OK","sable-neoforge-1.21.1-2.0.3.jar","sable.pw.toml",""
"OK","moonlight-neoforge-1.21.1-3.0.22.jar","selene.pw.toml",""
"OK","servercore-neoforge-1.5.19+1.21.1.jar","servercore.pw.toml",""
"OK","belts-neoforge-0.2.2.jar","simple-conveyor-belts.pw.toml",""
"OK","simplylight-1.5.3+1.21.1-b4.jar","simply-light.pw.toml",""
"OK","smoothchunk-1.21-4.1.jar","smooth-chunk-save.pw.toml",""
"OK","sophisticatedbackpacks-1.21.1-3.25.68.1971.jar","sophisticated-backpacks.pw.toml",""
"OK","sophisticatedcore-1.21.1-1.4.69.2125.jar","sophisticated-core.pw.toml",""
"OK","spark-1.10.124-neoforge.jar","spark.pw.toml",""
"OK","railways-0.3.0-alpha.2+neoforge-mc1.21.1.jar","steam-n-rails-neoforge.pw.toml",""
"OK","StorageDrawers-neoforge-1.21.1-13.11.4.jar","storage-drawers.pw.toml",""
"OK","supermartijn642configlib-1.1.8-neoforge-mc1.21.jar","supermartijn642s-config-lib.pw.toml",""
"OK","supermartijn642corelib-1.1.21-neoforge-mc1.21.jar","supermartijn642s-core-lib.pw.toml",""
"OK","supplementaries-neoforge-1.21.1-3.7.7.jar","supplementaries.pw.toml",""
"OK","tectonic-3.0.26-neoforge-21.1.jar","tectonic.pw.toml",""
"OK","tfmg_liquid_fuel_compat-1.0.0.jar","tfmg-liquid-fuel-compat.pw.toml",""
"OK","toms_storage-1.21-2.3.2.jar","toms-storage.pw.toml",""
"OK","treeplacer-neoforge-1.21.1-2.1.0.jar","treeplacer.pw.toml",""
"OK","VisualWorkbench-v21.1.1-1.21.1-NeoForge.jar","visual-workbench.pw.toml",""
