Wave,Mod,Decision,Source,Notes
0.14.0,Advanced Peripherals,Added,CurseForge,Full 1.21.1 peripheral suite for Meep Chat and friend-led CC projects; no peripheral types are disabled by Simba
0.14.0,CC:C Bridge,Added,CurseForge,Create and CC:Tweaked display/source bridge for Meep civic and transit experiences
0.1.0,AppleSkin,Included,CurseForge,Baseline QoL
0.1.0,CC: Tweaked,Included,CurseForge,Baseline computers/logistics
0.1.0,Chunky (Forge/NeoForge),Included,CurseForge,Baseline pregeneration
0.1.0,Clumps,Included,CurseForge,Baseline performance
0.1.0,Create,Included,CurseForge,Baseline core
0.1.0,Create Crafts & Additions,Included,CurseForge,Baseline power bridge
0.1.0,Create Deco,Included,CurseForge,Baseline rail-town decoration
0.1.0,Create Ore Excavation,Included,CurseForge,Baseline resource loop
0.1.0,Create: Bells & Whistles,Included,CurseForge,Baseline train decoration
0.1.0,Create: Connected,Included,CurseForge,Baseline Create utility
0.1.0,Create: Copycats+,Included,CurseForge,Baseline building detail
0.1.0,Create: Design n' Decor,Included,CurseForge,Baseline Create decoration
0.1.0,Create: Dragons Plus,Included,CurseForge,Baseline dependency
0.1.0,Create: Enchantment Industry,Included,CurseForge,Baseline stable 2.4.2
0.1.0,Dynamic FPS,Included,CurseForge,Baseline client performance
0.1.0,Embeddium,Included,CurseForge,Baseline renderer; remove if Sodium is added
0.1.0,Entity Culling Fabric/Forge,Included,CurseForge,Baseline client performance
0.1.0,FerriteCore,Included,CurseForge,Baseline memory
0.1.0,FramedBlocks,Included,CurseForge,Baseline building
0.1.0,Fusion (Connected Textures),Included,CurseForge,Baseline dependency
0.1.0,Jade,Included,CurseForge,Baseline UI info
0.1.0,Just Enough Items (JEI),Included,CurseForge,Baseline recipes
0.1.0,Lithostitched,Included,CurseForge,Baseline worldgen dependency
0.1.0,Lootr,Included,CurseForge,Baseline multiplayer loot
0.1.0,Macaw's Bridges,Included,CurseForge,Baseline infrastructure
0.1.0,ModernFix,Included,CurseForge,Baseline performance
0.1.0,Moonlight Lib,Included,CurseForge,Baseline dependency
0.1.0,Polymorph,Included,CurseForge,Baseline recipe conflicts
0.1.0,Rechiseled,Included,CurseForge,Baseline block palette
0.1.0,Rechiseled: Create,Included,CurseForge,Baseline block palette
0.1.0,Sophisticated Backpacks,Included,CurseForge,Baseline storage
0.1.0,Sophisticated Core,Included,CurseForge,Baseline dependency
0.1.0,spark,Included,CurseForge,Baseline profiling
0.1.0,Storage Drawers,Included,CurseForge,Baseline bulk storage
0.1.0,SuperMartijn642's Config Lib,Included,CurseForge,Baseline dependency
0.1.0,SuperMartijn642's Core Lib,Included,CurseForge,Baseline dependency
0.1.0,Supplementaries,Included,CurseForge,Baseline atmosphere
0.1.0,Tectonic,Included,CurseForge,Baseline terrain
0.1.0,Terralith,Included,CurseForge,Baseline terrain
0.2.0,Architectury API,Added,CurseForge,Dependency pulled by FTB Library
0.2.0,FTB Library,Added,CurseForge,Admin foundation
0.2.0,FTB Teams,Added,CurseForge,Teams
0.2.0,FTB Chunks,Added,CurseForge,Claims map and force-loading policy foundation
0.2.0,FTB Essentials,Added,CurseForge,Server commands
0.2.0,FTB Backups 3,Added,CurseForge,Server backups
0.2.0,FTB Ranks,Added,CurseForge,Permissions
0.2.0,FTB XMod Compat,Added,CurseForge,Included for FTB Chunks/Ranks integration
0.3.0,Embeddium,Removed,CurseForge,Replaced by Sodium per renderer decision
0.3.0,Sodium,Added,CurseForge,NeoForge renderer stack
0.3.0,Iris Shaders,Added,CurseForge,Shader loader; beta build selected for NeoForge 1.21.1
0.3.0,Distant Horizons,Added,CurseForge,Long-distance terrain visual layer
0.3.0,Sound Physics Remastered,Added,CurseForge,World atmosphere audio
0.3.0,Complementary Reimagined,Manual note,CurseForge,Not bundled until shaderpack licensing/export behavior is confirmed
0.4.0,Create Railways Navigator,Added,CurseForge,Rail navigation and train UX
0.4.0,DragonLib,Added,CurseForge,Dependency pulled by Create Railways Navigator
0.4.0,Create: Track Map (UNOFFICIAL FORK),Added,CurseForge,1.21.1 NeoForge unofficial fork; requires real launch testing
0.4.0,Kotlin for Forge,Added,CurseForge,Dependency pulled by Track Map
0.4.0,Simply Light,Added,CurseForge,Light blocks for infrastructure builds
0.4.0,Create: Dynamic Lights,Added,CurseForge,Contraption lighting
0.4.0,LambDynamicLights,Skipped,CurseForge,Not required by Create: Dynamic Lights on this export
0.5.0,Create: Diesel Generators,Added,CurseForge,Industrial power and refinery chain
0.5.0,Create: Power Loader,Added,CurseForge,Immersive Create chunk loading; config/test risk
0.5.0,Create Mechanical Extruder,Added,CurseForge,Create 6.0.10-targeted mechanical resource generation
0.5.0,Mechanicals Lib,Added,CurseForge,Dependency pulled by Create Mechanical Extruder
0.5.0,Create: New Age,Added,CurseForge,Electrical/power systems; added by exact project/file ID
0.6.0,Farmer's Delight,Added,CurseForge,Lived-in survival food layer
0.6.0,Handcrafted,Added,CurseForge,Single furniture/detail pack
0.6.0,Resourceful Lib,Added,CurseForge,Dependency pulled by Handcrafted
0.7.0,Iron Chests,Added,CurseForge,Simple expandable chest storage
0.7.0,Tom's Simple Storage Mod,Added,CurseForge,Group-requested storage interface; not AE2/RS
0.7.0,Mouse Tweaks,Added,CurseForge,Inventory mouse controls
0.7.0,Balm,Added,CurseForge,Dependency pulled by Inventory Essentials/Blay mods
0.7.0,Inventory Essentials,Added,CurseForge,Inventory controls and sorting
0.7.0,Crafting Tweaks,Added,CurseForge,Crafting grid controls; added by exact project/file ID
0.7.0,TrashSlot,Added,CurseForge,Inventory trash slot
0.7.0,Durability Tooltip,Added,CurseForge,Durability visibility
0.8.0,AmbientSounds 6,Added,CurseForge,Ambient soundscape; client-side ambience
0.8.0,CreativeCore,Added,CurseForge,Dependency pulled by AmbientSounds
0.8.0,Presence Footsteps (NeoForge),Added,CurseForge,Footstep/material sound ambience; unofficial NeoForge port
0.8.0,Particle Rain,Added,CurseForge,Weather particle/fog ambience; beta build
0.8.0,Falling Leaves,Added,CurseForge,Subtle foliage particles
0.8.0,Not Enough Animations,Added,CurseForge,Third-person animation polish
