Tier,Mod,Loader Target,Checked Version,Source,Launch Decision,Performance Risk,Side,Notes
Core,Create,NeoForge 1.21.1,6.0.10+mc1.21.1,https://modrinth.com/mod/create,Include,Medium,Client+Server,Main pack identity
Core,Create Crafts & Additions,NeoForge 1.21.1,neoforge-1.21.1-1.6.0,https://modrinth.com/mod/createaddition,Include,Medium,Client+Server,Energy bridge and engineering depth
Core,Create: Connected,NeoForge 1.21.1,1.3.2-mc1.21.1,https://modrinth.com/mod/create-connected,Include,Low,Client+Server,Good Create utility addon
Core,Create Deco,NeoForge 1.21.1,2.1.3,https://modrinth.com/mod/create-deco,Include,Low,Client+Server,Rail and industrial decoration
Core,Create: Copycats+,NeoForge 1.21.1,3.0.4+mc.1.21.1-neoforge,https://modrinth.com/mod/copycats,Include,Low,Client+Server,Important building detail
Core,Create: Bells & Whistles,NeoForge 1.21.1,v0.4.7-1.21.1,https://modrinth.com/mod/bellsandwhistles,Include,Low,Client+Server,Train/station style
Core,Create: Design n' Decor,NeoForge 1.21.1,2.2b,https://modrinth.com/mod/create-design-n-decor,Test,Medium,Client+Server,Good fit but test overlap
Core,Create Ore Excavation,NeoForge 1.21.1,1.21.1-1.6.8,https://modrinth.com/mod/create-ore-excavation,Test,Medium,Client+Server,Tune rates carefully
Core,Create: Enchantment Industry,NeoForge 1.21.1,2.4.2 stable available; newer alpha exists,https://modrinth.com/mod/create-enchantment-industry,Test,Medium,Client+Server,Use stable release not preview alpha
Terrain,Tectonic,NeoForge 1.21.1,3.0.26-neoforge-21.1,https://modrinth.com/mod/tectonic,Include,Medium,Server,Large rail-worthy terrain
Terrain,Terralith,NeoForge 1.21.1,2.6.2,https://modrinth.com/mod/terralith,Include,Medium,Server,Biome variety
Terrain,Lithostitched,NeoForge 1.21.1,1.7.13-neoforge-21.1,https://modrinth.com/mod/lithostitched,Include,Low,Server,Worldgen dependency/compat
Terrain,Distant Horizons,NeoForge 1.21.1,3.2.0-b-1.21.1,https://modrinth.com/mod/distanthorizons,Test,Medium,Client,Optional client visual scale
Server,Chunky,NeoForge 1.21.1,1.4.23,https://modrinth.com/mod/chunky,Include,Low,Server,World pregeneration
Performance,ModernFix,NeoForge 1.21.1,5.27.15+mc1.21.1,https://modrinth.com/mod/modernfix,Include,Low,Client+Server,Performance and fixes
Performance,FerriteCore,NeoForge 1.21.1,7.0.3-neoforge,https://modrinth.com/mod/ferrite-core,Include,Low,Client+Server,Memory reduction
Performance,Embeddium,NeoForge 1.21.1,1.0.15+mc1.21.1,https://modrinth.com/mod/embeddium,Include,Low,Client,Rendering performance
Performance,Entity Culling,NeoForge 1.21.1,1.10.5,https://modrinth.com/mod/entityculling,Include,Low,Client,Rendering performance
Performance,Dynamic FPS,NeoForge 1.21.1,3.11.4,https://modrinth.com/mod/dynamic-fps,Include,Low,Client,Background FPS/load reduction
Performance,Clumps,NeoForge 1.21.1,19.0.0.1,https://modrinth.com/mod/clumps,Include,Low,Client+Server,XP orb lag reduction
Performance,spark,NeoForge 1.21.1,1.10.124-neoforge-1.21.1,https://modrinth.com/mod/spark,Include,Low,Server,Profiling
Build,FramedBlocks,NeoForge 1.21.1,10.6.1,https://modrinth.com/mod/framedblocks,Include,Low,Client+Server,Industrial shapes and utility builds
Build,Supplementaries,NeoForge 1.21.1,1.21.1-3.7.7,https://modrinth.com/mod/supplementaries,Test,Medium,Client+Server,Atmosphere and details
Build,Rechiseled,NeoForge 1.21.1,1.2.5-neoforge-mc1.21,https://modrinth.com/mod/rechiseled,Include,Low,Client+Server,Block variants
